0.3731,0.6569,0.1046,0.075
0.3722,0.6569,0.1056,0.0736
0.3759,0.6847,0.1056,0.0667
0.3778,0.7083,0.1056,0.0639
0.3898,0.725,0.1056,0.0597
0.3815,0.7292,0.1083,0.0583
0.3713,0.7153,0.1056,0.0583
0.362,0.7,0.1056,0.0556
0.3519,0.6819,0.1065,0.0597
0.3435,0.6639,0.1028,0.0569
0.3306,0.6403,0.1046,0.0583
0.3176,0.6194,0.1056,0.0569
0.3093,0.6083,0.1056,0.0542
0.2991,0.6042,0.1065,0.0542
0.2972,0.5986,0.1056,0.0556
0.3028,0.5819,0.1046,0.0556
0.3139,0.5611,0.1046,0.0583
0.3306,0.5486,0.1037,0.0569
0.3463,0.5361,0.1046,0.0556
0.3657,0.5319,0.1037,0.0528
0.3815,0.5306,0.1037,0.0569
0.3972,0.5292,0.1046,0.0556
0.4287,0.5208,0.1028,0.0528
0.4537,0.5139,0.1028,0.05
0.4787,0.5097,0.1028,0.05
0.4935,0.5042,0.1037,0.0556
0.5074,0.4972,0.1019,0.0528
0.512,0.4792,0.1019,0.0542
0.5102,0.4597,0.1019,0.0569
0.4898,0.4556,0.1019,0.0597
0.463,0.4597,0.0991,0.0667
0.4324,0.4458,0.1009,0.075
0.4065,0.425,0.1009,0.0819
0.3778,0.4097,0.1,0.0889
0.3407,0.4181,0.1009,0.0944
0.325,0.4389,0.0991,0.0986
0.3157,0.4653,0.0991,0.1
0.3185,0.4986,0.0991,0.0972
0.3259,0.5167,0.1019,0.0986
0.3435,0.5,0.0991,0.1
0.3593,0.4625,0.1009,0.1097
0.3815,0.4444,0.0991,0.1097
0.3972,0.4486,0.1009,0.1153
0.4222,0.4708,0.1,0.1181
0.4444,0.4944,0.1,0.1125
0.4574,0.5069,0.1,0.1125
0.4713,0.5167,0.1009,0.1125
0.475,0.5292,0.1009,0.1125
0.475,0.5375,0.1019,0.1167
0.4639,0.5417,0.1019,0.1208
0.4509,0.5444,0.1019,0.125
0.437,0.5472,0.1009,0.1292
0.4157,0.5431,0.1009,0.1389
0.3954,0.5472,0.1009,0.1403
0.3796,0.5569,0.1009,0.1444
0.3731,0.5597,0.1019,0.1486
0.3685,0.5569,0.1,0.1542
0.3722,0.5417,0.1028,0.1597
0.3796,0.5222,0.0972,0.1625
0.3935,0.4972,0.1009,0.1694
0.4102,0.4639,0.0991,0.1736
0.4213,0.4194,0.1009,0.1806
0.4315,0.3847,0.0991,0.1833
0.4389,0.3597,0.0991,0.1819
0.4389,0.3444,0.0981,0.1847
0.4398,0.3458,0.0981,0.1875
0.4269,0.3639,0.0981,0.1861
0.4074,0.3806,0.0991,0.1875
0.3944,0.4028,0.0981,0.1847
0.3787,0.4236,0.0981,0.1833
0.3657,0.4472,0.0972,0.1847
0.3519,0.4736,0.0972,0.1806
0.3389,0.4889,0.0981,0.1792
0.3269,0.5,0.0981,0.1764
0.3176,0.5083,0.0972,0.175
0.3083,0.5069,0.0963,0.1722
0.3074,0.4944,0.0972,0.1708
0.3028,0.4778,0.0972,0.1639
0.3019,0.4569,0.0944,0.1625
0.3046,0.4375,0.0944,0.1625
0.3139,0.4153,0.0944,0.1639
0.3259,0.4,0.0917,0.1583
0.338,0.3889,0.0907,0.1597
0.3491,0.3889,0.0917,0.1583
0.3639,0.3819,0.0898,0.1583
0.3741,0.3792,0.088,0.1569
0.3824,0.3736,0.088,0.1583
0.3898,0.3778,0.0898,0.1583
0.3981,0.3917,0.088,0.1597
0.4056,0.4069,0.088,0.1597
0.4056,0.4222,0.088,0.1597
0.412,0.4458,0.087,0.1611
0.4157,0.4708,0.087,0.1639
0.4167,0.4944,0.087,0.1625
0.412,0.5167,0.0889,0.1653
0.4093,0.5333,0.088,0.1681
0.4037,0.5486,0.0889,0.1694
0.3954,0.5569,0.0898,0.1708
0.3889,0.5597,0.088,0.1722
0.3769,0.5611,0.088,0.1694
